date,category,title,article_count
2025-01-06,total,"서울시, '디딤씨앗통장' 대상 확대… 취약아동 지원",34
2025-01-06,total,"신한은행, 설 명절 중소기업에 15조 규모 금융 지원",33
2025-01-06,total,"국힘 “野, 내란죄 철회 부적절…이재명 대통령 만들기”",31
2025-01-17,total,"尹 재조사 불응…공수처, 오늘 구속영장 청구",150
2025-01-17,total,"'강경파' 김성훈 경호처 차장 체포…""정당한 업무""",87
2025-01-17,total,"갤럽조사도 역전…국민의힘 39% , 민주 36%",67
2025-01-17,total,권성동 “민주 내란 특검법은 종북‧위헌 버무린 괴물”,47
2025-01-17,total,"HD현대, 자재 대금 3500억원 규모 조기 지급",44
2025-01-17,total,"한수원·한전, 웨스팅하우스와 지재권 분쟁 종료",44
2025-01-17,total,崔 대행 “미국 신정부 출범 불확실성 면밀히 모니터링”,36
2025-01-17,total,"WB “트럼프 보편관세, 세계성장률 0.3%p↓”",35
2025-01-17,total,트럼프 취임식에 시진핑 대신 한정 부주석 참석,35
2025-01-17,total,임원 성과급 자사주로…삼성전자 책임경영 강화,32
2025-01-16,total,"법원 ""오늘 오후 5시 尹 체포적부심사 심문""",200
2025-01-16,total,"새해 첫 한은 금통위, 기준금리 연 3.00% 동결",98
2025-01-16,total,"與 '계엄특검' 당론 발의키로…""최악보다 차악이 낫다""",90
2025-01-16,total,공수처 “尹 체포적부심 결과 보고 구속영장 청구 검토”,67
2025-01-16,total,‘윤석열 체포’에도 탄핵심판 ‘예정대로’,54
2025-01-16,total,"尹체포에…與, 이재명 사법리스크 '총공세'",54
2025-01-16,total,"포스코이앤씨, 협력사 거래대금 420억 조기 지급",54
2025-01-16,total,국힘 35%-민주 33%…지지율 오차범위 내 ‘역전’,37
2025-01-16,total,"홍준표 대구시장, 트럼프 취임식 공식 초청받아 방미",37
2025-01-16,total,"이창용 한국은행 총재, ""정치 요인이 환율 끌어올려""",35
2025-01-15,total,"공수처 ""자진출석 고려하지 않아…영장집행이 목표""",916
2025-01-15,total,"박찬대 “윤 대통령 체포, 법치 실현 위한 첫 걸음”",122
2025-01-15,total,"경찰, '尹체포 저지 주도' 김성훈 경호처 차장 체포",106
2025-01-15,total,"국민의힘 의원 30여명, 尹 체포 막으러 관저 집결",92
2025-01-15,total,"尹 ""유혈 사태 막기 위해 공수처 불법 수사 응하기로""",76
